Player,Squad,Comp,Position_Primary,Age_Group,Age,Min,MP,Starts,Gls,Ast,xG,xAG,90s,Goals_per_90,Assists_per_90,Goal_Contributions_per_90,xG_per_90,xAG_per_90,Shots_per_90,Shot_Accuracy,Pass_Completion_Rate,Tackles_per_90,Interceptions_per_90,Age_Squared,Age_x_Goals,Minutes_x_Goals_per_90,market_value_in_eur,Log_Market_Value,Value_per_Goal,League_de Bundesliga,League_eng Premier League,League_es La Liga,League_fr Ligue 1,League_it Serie A,Position_DF,Position_FW,Position_GK,Position_MF
Emmanuel Agbadou,Reims,fr Ligue 1,DF,Prime,27.0,1260,14,14,0,0,0.5,0.3,14.0,0.0,0.0,0.0,0.03568879371877231,0.021413276231263382,1.0706638115631693,0.19986675549633579,0.878515417403282,1.7844396859386153,1.3561741613133476,729.0,0.0,0.0,17000000,16.648723960844016,17000000.0,False,False,False,True,False,True,False,False,False
Jeremy Agbonifo,Lens,fr Ligue 1,FW,Young,18.0,300,8,1,1,0,0.7,0.2,3.3333333333333335,0.29910269192422734,0.0,0.29910269192422734,0.2093718843469591,0.05982053838484547,1.794616151545364,0.6655574043261232,0.7249093863267091,2.0937188434695915,0.29910269192422734,324.0,18.0,89.7308075772682,5000000,15.424948670398354,2500000.0,False,False,False,True,False,False,True,False,False
Julen Agirrezabala,Athletic Club,es La Liga,GK,Prime,23.0,1206,14,14,0,0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6836816622466607,0.0,0.0,529.0,0.0,0.0,15000000,16.52356082573315,15000000.0,False,False,True,False,False,False,False,True,False
Felix Agu,Werder Bremen,de Bundesliga,DF,Prime,24.0,1751,22,21,3,0,1.4,1.8,19.455555555555556,0.15411838575261144,0.0,0.15411838575261144,0.07192191335121867,0.09247103145156686,0.4623551572578343,0.4439511653718091,0.7968272892057274,1.5411838575261143,1.0788287002682801,576.0,72.0,269.8612934528226,6000000,15.607270193858982,1500000.0,True,False,False,False,False,True,False,False,False
Álvaro Aguado,Espanyol,es La Liga,MF,Prime,28.0,443,16,4,0,1,0.6,0.6,4.9222222222222225,0.0,0.20274836674926786,0.20274836674926786,0.1216490200495607,0.1216490200495607,2.0274836674926786,0.0999000999000999,0.7781944276440467,1.0137418337463393,0.8109934669970714,784.0,0.0,0.0,2000000,14.508658238524095,2000000.0,False,False,True,False,False,False,False,False,True
Nayef Aguerd,Real Sociedad,es La Liga,DF,Prime,28.0,1760,21,21,0,0,2.4,0.1,19.555555555555557,0.0,0.0,0.0,0.12266454653870178,0.005111022772445907,0.7666534158668862,0.3331112591605596,0.8732838496483106,1.5333068317337724,0.664432960417968,784.0,0.0,0.0,25000000,17.034386422832473,25000000.0,False,False,True,False,False,True,False,False,False
Ruben Aguilar,Lens,fr Ligue 1,DF,Veteran,31.0,1124,16,13,1,2,0.8,1.9,12.488888888888889,0.08000711174326607,0.16001422348653213,0.24002133522979818,0.06400568939461286,0.15201351231220553,0.8800782291759267,0.2724795640326976,0.8030746966228158,2.7202417992710464,1.0400924526624589,961.0,31.0,89.92799359943106,4000000,15.201805169084134,2000000.0,False,False,False,True,False,True,False,False,False
Naouirou Ahamada,Rennes,fr Ligue 1,MF,Young,22.0,58,3,0,0,0,0.0,0.0,0.6444444444444445,0.0,0.0,0.0,0.0,0.0,1.5280135823429541,0.0,0.7723761926397091,0.0,2.8347121037593386,484.0,0.0,0.0,5000000,15.424948670398354,5000000.0,False,False,False,True,False,False,False,False,True
Honest Ahanor,Genoa,it Serie A,DF,Young,16.0,270,6,3,0,0,0.5,0.1,3.0,0.0,0.0,0.0,0.16611295681063123,0.03322259136212625,0.9966777408637875,0.33222591362126247,0.6709643467964741,2.3255813953488373,0.33222591362126247,256.0,0.0,0.0,3000000,14.914123179965662,3000000.0,False,False,False,False,True,True,False,False,False
Erik Ahlstrand,St. Pauli,de Bundesliga,FW,Young,22.0,43,5,0,0,0,0.0,0.0,0.4777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7686395080707148,0.0,2.0501138952164006,484.0,0.0,0.0,500000,13.122365377402328,500000.0,True,False,False,False,False,False,True,False,False
