Player,Squad,Comp,Position_Primary,Age,Gls,Ast,Actual_Value,Predicted_Value,Value_Difference,Actual_Value_M,Predicted_Value_M,Difference_M
Scott McTominay,Napoli,it Serie A,MF,27.0,12,4,40000000,35120286.87159178,-4879713.128408223,40.0,35.12028687159177,-4.879713128408223
Scott McTominay,Manchester Utd,eng Premier League,MF,27.0,0,0,40000000,35120286.87159178,-4879713.128408223,40.0,35.12028687159177,-4.879713128408223
Yussuf Poulsen,RB Leipzig,de Bundesliga,FW,30.0,2,0,5000000,246124.12781947665,-4753875.872180523,5.0,0.24612412781947665,-4.753875872180523
Renato Veiga,Chelsea,eng Premier League,DF,21.0,0,0,18000000,13266335.07385718,-4733664.926142819,18.0,13.266335073857181,-4.733664926142819
Renato Veiga,Juventus,it Serie A,DF,21.0,0,1,18000000,13266335.07385718,-4733664.926142819,18.0,13.266335073857181,-4.733664926142819
Martin Terrier,Leverkusen,de Bundesliga,MF,27.0,2,1,17000000,12408530.038354818,-4591469.961645182,17.0,12.408530038354817,-4.591469961645182
Wilson Odobert,Tottenham,eng Premier League,FW,19.0,1,0,18000000,13528526.076898117,-4471473.923101883,18.0,13.528526076898117,-4.471473923101883
Kyle Walker,Milan,it Serie A,DF,34.0,0,0,6000000,1760237.2119695526,-4239762.788030447,6.0,1.7602372119695526,-4.239762788030448
Kyle Walker,Manchester City,eng Premier League,DF,34.0,0,0,6000000,1760237.2119695526,-4239762.788030447,6.0,1.7602372119695526,-4.239762788030448
Kevin Trapp,Eint Frankfurt,de Bundesliga,GK,34.0,0,0,3000000,-1212061.6298175268,-4212061.629817527,3.0,-1.2120616298175269,-4.212061629817526
Alex McCarthy,Southampton,eng Premier League,GK,34.0,0,0,500000,-3573468.881594252,-4073468.881594252,0.5,-3.573468881594252,-4.073468881594252
Stefan Posch,Bologna,it Serie A,DF,27.0,0,0,10000000,6062125.870078931,-3937874.1299210694,10.0,6.062125870078931,-3.9378741299210693
Stefan Posch,Atalanta,it Serie A,DF,27.0,0,0,10000000,6062125.870078931,-3937874.1299210694,10.0,6.062125870078931,-3.9378741299210693
George Edmundson,Ipswich Town,eng Premier League,DF,26.0,0,0,400000,-3521083.2422573026,-3921083.2422573026,0.4,-3.5210832422573026,-3.9210832422573025
Matheus Cunha,Wolves,eng Premier League,MF,25.0,15,6,55000000,51122515.695907705,-3877484.3040922955,55.0,51.1225156959077,-3.8774843040922953
Thiago Almada,Lyon,fr Ligue 1,MF,23.0,1,4,25000000,21165000.77716002,-3834999.2228399813,25.0,21.165000777160017,-3.8349992228399814
Jefferson Lerma,Crystal Palace,eng Premier League,MF,29.0,0,1,12000000,8190786.999024721,-3809213.000975279,12.0,8.190786999024722,-3.809213000975279
Raphinha,Barcelona,es La Liga,FW,27.0,18,9,80000000,76201043.37030011,-3798956.629699886,80.0,76.20104337030011,-3.798956629699886
Carlos Augusto,Inter,it Serie A,DF,25.0,3,2,22000000,18295095.96995921,-3704904.0300407894,22.0,18.29509596995921,-3.7049040300407894
David Mokwa,Hoffenheim,de Bundesliga,DF,20.0,0,0,1000000,-2615144.2258665957,-3615144.2258665957,1.0,-2.6151442258665956,-3.6151442258665956
Sammie Szmodics,Ipswich Town,eng Premier League,FW,28.0,4,0,12000000,8491592.585139032,-3508407.4148609675,12.0,8.491592585139033,-3.5084074148609674
James Mcatee,Manchester City,eng Premier League,MF,21.0,3,0,18000000,14524752.376323223,-3475247.623676777,18.0,14.524752376323223,-3.475247623676777
Timo Werner,Tottenham,eng Premier League,FW,28.0,0,3,10000000,6625252.821611517,-3374747.178388483,10.0,6.625252821611517,-3.374747178388483
Koke,Atlético Madrid,es La Liga,MF,32.0,1,1,10000000,6698928.412160249,-3301071.5878397506,10.0,6.6989284121602495,-3.3010715878397505
Jonas Martin,Brest,fr Ligue 1,MF,34.0,1,0,800000,-2395274.571500046,-3195274.571500046,0.8,-2.395274571500046,-3.1952745715000463
Mikel Oyarzabal,Real Sociedad,es La Liga,FW,27.0,9,3,30000000,26839139.035315912,-3160860.964684088,30.0,26.839139035315913,-3.1608609646840877
Robin Koch,Eint Frankfurt,de Bundesliga,DF,28.0,3,0,18000000,14895347.261591876,-3104652.738408124,18.0,14.895347261591876,-3.104652738408124
Boubakary Soumaré,Leicester City,eng Premier League,MF,25.0,0,0,14000000,10989121.35257146,-3010878.6474285405,14.0,10.989121352571459,-3.0108786474285405
Trevoh Chalobah,Crystal Palace,eng Premier League,DF,25.0,3,0,17000000,14117325.460037138,-2882674.5399628617,17.0,14.117325460037138,-2.8826745399628617
Trevoh Chalobah,Chelsea,eng Premier League,DF,25.0,0,1,17000000,14117325.460037138,-2882674.5399628617,17.0,14.117325460037138,-2.8826745399628617
Cesare Casadei,Torino,it Serie A,MF,21.0,1,1,15000000,12120370.015623285,-2879629.9843767155,15.0,12.120370015623285,-2.8796299843767157
Mathías Olivera,Napoli,it Serie A,DF,26.0,0,2,18000000,15144085.815560114,-2855914.1844398864,18.0,15.144085815560114,-2.8559141844398863
Arsen Zakharyan,Real Sociedad,es La Liga,MF,21.0,1,0,15000000,12218606.736796364,-2781393.263203636,15.0,12.218606736796364,-2.781393263203636
El Chadaille Bitshiabu,RB Leipzig,de Bundesliga,DF,19.0,0,0,12000000,9315299.66012054,-2684700.3398794606,12.0,9.31529966012054,-2.6847003398794604
Birama Touré,Montpellier,fr Ligue 1,MF,32.0,0,0,1800000,-825189.2457425259,-2625189.245742526,1.8,-0.825189245742526,-2.625189245742526
