Player,Squad,Comp,Position_Primary,Age,Gls,Ast,Actual_Value,Predicted_Value,Value_Difference,Actual_Value_M,Predicted_Value_M,Difference_M
Reda Belahyane,Hellas Verona,it Serie A,MF,20.0,0,2,10000000,13777206.401983123,3777206.4019831233,10.0,13.777206401983124,3.7772064019831233
Reda Belahyane,Lazio,it Serie A,MF,20.0,0,0,10000000,13777206.401983123,3777206.4019831233,10.0,13.777206401983124,3.7772064019831233
Tino Kadewere,Nantes,fr Ligue 1,MF,28.0,1,2,3000000,6775794.253087505,3775794.2530875048,3.0,6.775794253087505,3.7757942530875046
Arne Maier,Augsburg,de Bundesliga,MF,25.0,0,0,4000000,7747886.553852403,3747886.5538524026,4.0,7.747886553852402,3.7478865538524024
Suso,Sevilla,es La Liga,FW,30.0,0,2,2500000,6102127.233459929,3602127.233459929,2.5,6.102127233459929,3.602127233459929
Dennis Geiger,Hoffenheim,de Bundesliga,MF,26.0,0,0,3000000,6592622.321513443,3592622.3215134433,3.0,6.592622321513443,3.5926223215134434
Alessandro Circati,Parma,it Serie A,DF,20.0,0,0,8500000,12078522.11434865,3578522.11434865,8.5,12.07852211434865,3.57852211434865
Maximilian Beier,Dortmund,de Bundesliga,FW,21.0,8,5,25000000,28576941.29048346,3576941.29048346,25.0,28.57694129048346,3.5769412904834597
Mohamed Bamba,Reims,fr Ligue 1,MF,19.0,0,0,6000000,9554919.12362408,3554919.123624081,6.0,9.554919123624082,3.5549191236240807
Will Hughes,Crystal Palace,eng Premier League,MF,29.0,0,3,9000000,12510887.603052396,3510887.6030523963,9.0,12.510887603052396,3.5108876030523963
Pablo Marí,Monza,it Serie A,DF,30.0,0,0,3500000,7003794.594978905,3503794.5949789053,3.5,7.003794594978905,3.5037945949789053
Pablo Marí,Fiorentina,it Serie A,DF,30.0,0,0,3500000,7003794.594978905,3503794.5949789053,3.5,7.003794594978905,3.5037945949789053
Thomas Meunier,Lille,fr Ligue 1,DF,32.0,2,0,2000000,5458682.845295208,3458682.8452952076,2.0,5.458682845295208,3.4586828452952076
Jakub Stolarczyk,Leicester City,eng Premier League,GK,23.0,0,0,400000,3785609.7458694223,3385609.7458694223,0.4,3.7856097458694222,3.3856097458694223
Alessandro Deiola,Cagliari,it Serie A,MF,28.0,2,1,1600000,4937983.332911201,3337983.332911201,1.6,4.937983332911201,3.3379833329112008
Ismaël Doukouré,Strasbourg,fr Ligue 1,DF,21.0,1,1,15000000,18241266.94802838,3241266.948028378,15.0,18.24126694802838,3.241266948028378
Borja Mayoral,Getafe,es La Liga,FW,27.0,5,1,9000000,12214479.6857424,3214479.6857424006,9.0,12.2144796857424,3.2144796857424005
Mergim Berisha,Augsburg,de Bundesliga,FW,26.0,0,0,5000000,8199294.767881377,3199294.7678813767,5.0,8.199294767881376,3.199294767881377
Mergim Berisha,Hoffenheim,de Bundesliga,FW,26.0,1,1,5000000,8199294.767881377,3199294.7678813767,5.0,8.199294767881376,3.199294767881377
Haris Tabakovic,Hoffenheim,de Bundesliga,FW,30.0,3,1,3000000,6167591.034406276,3167591.0344062764,3.0,6.167591034406277,3.1675910344062763
Luca Marianucci,Empoli,it Serie A,DF,20.0,0,0,5000000,8164498.632024648,3164498.6320246477,5.0,8.164498632024648,3.1644986320246478
Chris Führich,Stuttgart,de Bundesliga,MF,26.0,2,3,18000000,21158266.310876217,3158266.3108762167,18.0,21.15826631087622,3.1582663108762166
Jean Onana,Genoa,it Serie A,MF,24.0,0,0,3000000,6077550.668597077,3077550.668597077,3.0,6.077550668597077,3.077550668597077
Alfonso Pedraza,Villarreal,es La Liga,DF,28.0,0,2,2500000,5484561.658935761,2984561.658935761,2.5,5.484561658935761,2.984561658935761
Luca Philipp,Hoffenheim,de Bundesliga,GK,23.0,0,0,750000,3696421.814945585,2946421.814945585,0.75,3.696421814945585,2.946421814945585
Gaetano Castrovilli,Lazio,it Serie A,MF,27.0,0,0,3500000,6440333.852904728,2940333.8529047277,3.5,6.440333852904728,2.9403338529047276
Gaetano Castrovilli,Monza,it Serie A,MF,27.0,0,0,3500000,6440333.852904728,2940333.8529047277,3.5,6.440333852904728,2.9403338529047276
András Schäfer,Union Berlin,de Bundesliga,MF,25.0,1,1,5000000,7893170.148722857,2893170.1487228572,5.0,7.893170148722858,2.893170148722857
Juan Berrocal,Getafe,es La Liga,DF,25.0,0,0,1800000,4644015.351905334,2844015.351905334,1.8,4.644015351905334,2.844015351905334
Federico Barba,Como,it Serie A,DF,30.0,0,0,900000,3739316.883277935,2839316.883277935,0.9,3.739316883277935,2.839316883277935
Sebastiaan Bornauw,Wolfsburg,de Bundesliga,DF,25.0,2,1,7000000,9793297.38150108,2793297.3815010805,7.0,9.79329738150108,2.7932973815010804
Maximilian Mittelstädt,Stuttgart,de Bundesliga,DF,27.0,1,7,20000000,22779976.745458186,2779976.7454581857,20.0,22.779976745458185,2.779976745458186
Kyle Walker-Peters,Southampton,eng Premier League,DF,27.0,0,2,18000000,20758634.47504021,2758634.4750402085,18.0,20.758634475040207,2.7586344750402088
Brandon Austin,Tottenham,eng Premier League,GK,25.0,0,0,600000,3346533.7611353733,2746533.7611353733,0.6,3.3465337611353734,2.7465337611353733
Alessio Romagnoli,Lazio,it Serie A,DF,29.0,2,0,12000000,14710308.890933368,2710308.8909333684,12.0,14.71030889093337,2.7103088909333684
Paweł Dawidowicz,Hellas Verona,it Serie A,DF,29.0,0,0,2500000,4977451.9332591165,2477451.9332591165,2.5,4.9774519332591165,2.4774519332591165
Davide Calabria,Milan,it Serie A,DF,27.0,0,0,7500000,9966658.116602045,2466658.1166020446,7.5,9.966658116602044,2.4666581166020447
